1343810	1124	Carbonic anhydrase VII inhibitor	11060	INHIBITOR	11060	SINGLE PROTEIN	Carbonic anhydrase VII	Homo sapiens	CHEMBL2326	1124	CHEMBL19
1344053	675068	Carbonic anhydrase I inhibitor	10193	INHIBITOR	10193	SINGLE PROTEIN	Carbonic anhydrase I	Homo sapiens	CHEMBL261	675068	CHEMBL1201117
1344649	674765	Carbonic anhydrase I inhibitor	10193	INHIBITOR	10193	SINGLE PROTEIN	Carbonic anhydrase I	Homo sapiens	CHEMBL261	674765	CHEMBL1200814
1343255	1085	Carbonic anhydrase I inhibitor	10193	INHIBITOR	10193	SINGLE PROTEIN	Carbonic anhydrase I	Homo sapiens	CHEMBL261	1085	CHEMBL17
1344903	1125	Carbonic anhydrase I inhibitor	10193	INHIBITOR	10193	SINGLE PROTEIN	Carbonic anhydrase I	Homo sapiens	CHEMBL261	1125	CHEMBL20
1343810	1124	Carbonic anhydrase I inhibitor	10193	INHIBITOR	10193	SINGLE PROTEIN	Carbonic anhydrase I	Homo sapiens	CHEMBL261	1124	CHEMBL19
1343534	674722	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	674722	CHEMBL1200771
1343271	1102940	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	1102940	CHEMBL1722209
1343367	230999	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	230999	CHEMBL1240
1344039	674857	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	674857	CHEMBL1200906
1343841	554127	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	554127	CHEMBL1724
1343451	1049461	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	1049461	CHEMBL1626570
1344767	674831	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	674831	CHEMBL1200880
1343131	674430	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	674430	CHEMBL1200479
1343595	594843	Muscarinic acetylcholine receptor M3 agonist	219	AGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	594843	CHEMBL1768
1344400	453573	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	453573	CHEMBL1578
1343115	1418097	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	1418097	CHEMBL2146146
1344620	445395	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	445395	CHEMBL517712
1343683	674555	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	674555	CHEMBL1200604
1343522	674754	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	674754	CHEMBL1200803
1344268	674886	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	674886	CHEMBL1200935
1679369	562404	Muscarinic acetylcholine receptor M3 antagonist	219	ANTAGONIST	219	SINGLE PROTEIN	Muscarinic acetylcholine receptor M3	Homo sapiens	CHEMBL245	562404	CHEMBL551466
